#species id	cell-line names	
species:ncbi:9606	IGF006/83 cell-line|IGF006/83 cellline|IGF006/83 cell-lines|IGF006/83 celllines|IGF006/83 cell|IGF006/83 cells
species:ncbi:9606	IGF041/81 cell-line|IGF041/81 cell-lines|IGF041/81 cell|IGF041/81 celllines|IGF041/81 cellline|IGF041/81 cells
species:ncbi:9606	IGF053/87 cellline|IGF053/87 cell-line|IGF053/87 cells|IGF053/87 cell-lines|IGF053/87 celllines|IGF053/87 cell
species:ncbi:9606	IGF011/89 cell-lines|IGF011/89 cellline|IGF011/89 cells|IGF011/89 cell|IGF011/89 cell-line|IGF011/89 celllines
species:ncbi:9606	MP 8 cellline|MP 8 celllines|MP 8 cell|MP 8 cells|MP 8 cell-lines|MP 8 cell-line
species:ncbi:9606	IGF091/78 cellline|IGF091/78 cell-line|IGF091/78 cell-lines|IGF091/78 cells|IGF091/78 celllines|IGF091/78 cell
species:ncbi:9606	IGF009/80 cell-line|IGF009/80 cell-lines|IGF009/80 cells|IGF009/80 cellline|IGF009/80 cell|IGF009/80 celllines
species:ncbi:9606	MEL-JUSO celllines|MEL-JUSO cells|MEL-JUSO cellline|MEL-JUSO cell|MEL-JUSO cell-lines|MEL-JUSO cell-line
species:ncbi:10090	L89.2 cell-line|L89.2 cell|L89.2 celllines|L89.2 cellline|L89.2 cell-lines|L89.2 cells
species:ncbi:10116	DFK3 cell-lines|DFK3 celllines|DFK3 cellline|DFK3 cells|DFK3 cell|DFK3 cell-line
species:ncbi:9606	CaSki cells|CaSki cell-lines|CaSki celllines|CaSki cell-line|CaSki cell|CaSki cellline
species:ncbi:9606	AR91 cell|AR91 celllines|AR91 cell-lines|AR91 cellline|AR91 cell-line|AR91 cells
species:ncbi:9606	IGF081/78 celllines|IGF081/78 cell|IGF081/78 cellline|IGF081/78 cell-lines|IGF081/78 cell-line|IGF081/78 cells
species:ncbi:9606	IGL005/93 cell|IGL005/93 cell-lines|IGL005/93 cells|IGL005/93 cellline|IGL005/93 celllines|IGL005/93 cell-line
species:ncbi:9606	IGF081/80 cell|IGF081/80 cell-line|IGF081/80 cells|IGF081/80 celllines|IGF081/80 cell-lines|IGF081/80 cellline
species:ncbi:9606	TFK-1 cell-lines|TFK-1 cell|TFK-1 cells|TFK-1 cell-line|TFK-1 celllines|TFK-1 cellline
species:ncbi:9606	MP 3 cell|MP 3 celllines|MP 3 cell-lines|MP 3 cellline|MP 3 cells|MP 3 cell-line
species:ncbi:9606	IGF036/01 cellline|IGF036/01 cell|IGF036/01 cell-lines|IGF036/01 cell-line|IGF036/01 cells|IGF036/01 celllines
species:ncbi:9606	L1296 cell-line|L1296 cell-lines|L1296 cells|L1296 cell|L1296 celllines|L1296 cellline
species:ncbi:9606	IGF053/90 cell-lines|IGF053/90 cell-line|IGF053/90 cells|IGF053/90 cell|IGF053/90 celllines|IGF053/90 cellline
species:ncbi:9606	IGF016/99 cells|IGF016/99 cell|IGF016/99 cell-lines|IGF016/99 cellline|IGF016/99 cell-line|IGF016/99 celllines
